FieldID,pH,P_ppm,k_ppm,mg_ppm,ca_ppm,acidity,cec,k_cec,mg_cec,ca_cec,zn_ppm,cu_ppm,s_ppm,om_percent,nitrate
neccc1,5.74,20,59,201,897.7,5.1,11.4,1.3,14.7,39.3,1.1,0.8,12.9,2.39,12.8875
neccc2,5.51,21,47,155,798.6,4.5,9.9,1.2,13,40.3,2.2,0.8,12.3,2.18,19.774
neccc3,5.44,25,54,167,809.5,5.7,11.3,1.2,12.3,35.9,1.7,0.9,15.9,2.29,8.8115
gs1,6.58,30,78,121,1392.7,2,10.2,2,9.9,68.5,2.1,1.3,12.9,2.2,8.8245
gs2,6.61,27,81,136,1607.7,2,11.4,1.8,10,70.6,2.4,1.4,10.9,2.32,9.3135
gs3,6.23,30,82,82,1099.3,2.2,8.6,2.4,8,64,2.2,1,10.9,2.39,8.5555
pl1,6.58,39,63,50,1187.4,2,8.5,1.9,4.9,69.7,1.8,0.9,11,2.21,11.044
pl2,6.38,48,64,60,1399.6,2.2,9.9,1.7,5.1,71,2.2,1.1,14,2.37,11.621
pl3,6.5,48,55,46,1205.5,2.2,8.8,1.6,4.4,68.9,2,1.1,11.6,2.32,10.192
pl4,6.85,51,74,54,1654.2,0,8.9,2.1,5.1,92.8,2.6,1.1,11,2.66,13.023
pl5,6.37,47,75,60,1127.1,2.8,9.1,2.1,5.5,61.7,2.3,1,12,3.2,10.0805
